Test Type,Transaction ID,Patient ID,Operation,Start Time,End Time,Duration (seconds),Status
FULL_CYCLE,89,CLOUD_FC_20260219_183630_P000089,CREATE,1771526211.703183134,1771526211.704647280,.110115223,SUCCESS
FULL_CYCLE,89,CLOUD_FC_20260219_183630_P000089,CONSENT,1771526211.815640530,1771526211.817043674,.103615221,SUCCESS
FULL_CYCLE,90,CLOUD_FC_20260219_183630_P000090,CREATE,1771526211.936776696,1771526211.938252942,.111832977,SUCCESS
FULL_CYCLE,90,CLOUD_FC_20260219_183630_P000090,CONSENT,1771526212.051075050,1771526212.052639198,.105600283,SUCCESS
FULL_CYCLE,91,CLOUD_FC_20260219_183630_P000091,CREATE,1771526212.195167829,1771526212.196717478,.134164271,SUCCESS
FULL_CYCLE,91,CLOUD_FC_20260219_183630_P000091,CONSENT,1771526212.328986390,1771526212.330721744,.124963285,SUCCESS
FULL_CYCLE,92,CLOUD_FC_20260219_183630_P000092,CREATE,1771526212.450675573,1771526212.451991014,.112040983,SUCCESS
FULL_CYCLE,92,CLOUD_FC_20260219_183630_P000092,CONSENT,1771526212.574674028,1771526212.576017570,.114906873,SUCCESS
FULL_CYCLE,93,CLOUD_FC_20260219_183630_P000093,CREATE,1771526212.698150767,1771526212.699618612,.114080446,SUCCESS
FULL_CYCLE,93,CLOUD_FC_20260219_183630_P000093,CONSENT,1771526212.827740296,1771526212.828948233,.120765454,SUCCESS
FULL_CYCLE,94,CLOUD_FC_20260219_183630_P000094,CREATE,1771526212.952603877,1771526212.954078123,.114627164,SUCCESS
FULL_CYCLE,94,CLOUD_FC_20260219_183630_P000094,CONSENT,1771526213.073893348,1771526213.075480998,.112557199,SUCCESS
FULL_CYCLE,95,CLOUD_FC_20260219_183630_P000095,CREATE,1771526213.193767975,1771526213.195127317,.110342831,SUCCESS
FULL_CYCLE,95,CLOUD_FC_20260219_183630_P000095,CONSENT,1771526213.310140493,1771526213.311625339,.107772051,SUCCESS
FULL_CYCLE,96,CLOUD_FC_20260219_183630_P000096,CREATE,1771526213.448398091,1771526213.449863637,.128580897,SUCCESS
FULL_CYCLE,96,CLOUD_FC_20260219_183630_P000096,CONSENT,1771526213.566566765,1771526213.567978109,.108831683,SUCCESS
FULL_CYCLE,97,CLOUD_FC_20260219_183630_P000097,CREATE,1771526213.687314619,1771526213.688776064,.110876347,SUCCESS
FULL_CYCLE,97,CLOUD_FC_20260219_183630_P000097,CONSENT,1771526213.806136713,1771526213.807655860,.109903716,SUCCESS
FULL_CYCLE,98,CLOUD_FC_20260219_183630_P000098,CREATE,1771526213.924019478,1771526213.925597827,.107935656,SUCCESS
FULL_CYCLE,98,CLOUD_FC_20260219_183630_P000098,CONSENT,1771526214.045516355,1771526214.046956900,.112535099,SUCCESS
FULL_CYCLE,99,CLOUD_FC_20260219_183630_P000099,CREATE,1771526214.170281434,1771526214.171769080,.115250883,SUCCESS
FULL_CYCLE,99,CLOUD_FC_20260219_183630_P000099,CONSENT,1771526214.283555755,1771526214.285027001,.104382246,SUCCESS
FULL_CYCLE,100,CLOUD_FC_20260219_183630_P000100,CREATE,1771526214.404278809,1771526214.405749254,.111028752,SUCCESS
FULL_CYCLE,100,CLOUD_FC_20260219_183630_P000100,CONSENT,1771526214.526941022,1771526214.528296964,.113225120,SUCCESS
FULL_CYCLE,101,CLOUD_FC_20260219_183630_P000101,CREATE,1771526214.665578632,1771526214.667036078,.128933808,SUCCESS
FULL_CYCLE,101,CLOUD_FC_20260219_183630_P000101,CONSENT,1771526214.781808846,1771526214.783168788,.107148432,SUCCESS
FULL_CYCLE,102,CLOUD_FC_20260219_183630_P000102,CREATE,1771526214.909909728,1771526214.911335473,.118273677,SUCCESS
FULL_CYCLE,102,CLOUD_FC_20260219_183630_P000102,CONSENT,1771526215.031819151,1771526215.033337404,.112648714,SUCCESS
